username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
cubsfan1;2018-05-06 22:27;0;2;"Thank you for your great support of teachers and children and all you did to try and improve the budget. We have many great candidates including several teachers who love this state and are ready to make a difference. # redforedaz # RememberInNovember";;;# #;"993361763188916224";https://twitter.com/cubsfan1/status/993361763188916224
kevinredefined;2018-05-06 21:13;1;4;"# redforedaz # RedForEd # Red4Ed Nothing to see here. Move along.pic.twitter.com/PNG9PKFlRn";;;# # #;"993343152525271040";https://twitter.com/kevinredefined/status/993343152525271040
kpriceolsen;2018-05-06 21:12;10;22;"Be a part of a lasting solution. If you are disappointed in your Az House Rep or Az Senator, help their opponent get elected. Don’t vote simply for party, vote for the person who best represents your values. # RememberInNovember and help # GetOutTheVote # redforedaz # SaveOurSchoolspic.twitter.com/yiL4DmI8wt";;;# # # #;"993342747338682368";https://twitter.com/kpriceolsen/status/993342747338682368
Tea_Party_Chris;2018-05-06 20:51;1;1;"# PurpleForParents # PinalCounty # SanTanValley # CasaGrande # FlorenceAZ # Coolidge # Eloy # SaddlebrookeRanch # SaddleBrookE # MaricopaCity # MaricopaCounty # MohaveCounty # RedForEd # Red4EdExposed # RedForEDaz # Red4Ed # MAGA https://fee.org +/articles/no-teachers-are-not-underpaid/";;;# # # # # # # # # # # # # # # # #;"993337612231311360";https://twitter.com/Tea_Party_Chris/status/993337612231311360
peoplearewild;2018-05-06 20:16;0;9;"This week is also teacher appreciation week so THANK YOU to all the teachers out there. I wouldn't be where I am without the lot of you. (Aaannnnd to all the teachers in my home state... # redforedaz)";;;#;"993328638652305409";https://twitter.com/peoplearewild/status/993328638652305409
carolync1979;2018-05-06 19:28;0;0;"These were music teachers in Arizona schools who formed a band for the # redforedaz protest. You were appreciated <3";;;#;"993316568971919361";https://twitter.com/carolync1979/status/993316568971919361
_strangemode;2018-05-06 16:25;0;1;"Do a walkout. Did my state teach you nothing? # redforedaz";;;#;"993270680215945216";https://twitter.com/_strangemode/status/993270680215945216
verstand54;2018-05-06 10:36;3;8;"Finding OUR collective VOICES; Standing in SOLIDARITY is the beginning. We need to move BEYOND, stay UNITED, and collectively pursue solutions our Legislatures are not able to. # redforedaz https://twitter.com/kfish2691/status/993011487332483072 …";;;#;"993182688822489088";https://twitter.com/verstand54/status/993182688822489088
EMichaelGannon;2018-05-06 10:11;1;0;"Have zero sympathy for # redforedaz liberal union thug extortionists. Remember their whiny crybaby tactics in the next override election and ALWAYS VOTE NO. https://seeingredaz.wordpress.com/2018/05/06/redsfored-socialist-extortionists-file-initiative-for-millions-more/ …";;;#;"993176353192079360";https://twitter.com/EMichaelGannon/status/993176353192079360
PopResistance;2018-05-06 10:05;1;0;""Our thought was that if they would have conceded more to us, it would have already happened by now. Though they haven’t done everything they’re able to do, they’ve done all they’re willing to do." https://popularresistance.org/the-outcome-in-arizona/ … # Arizona # redforedaz # RedForEd";;;# # #;"993175029662691328";https://twitter.com/PopResistance/status/993175029662691328
OLibertyMatters;2018-05-06 07:29;1;4;"# redforedaz radical leftist teachers are blaming Republicans for their actions with regard to striking. They give no credit to Legislators who acted & have vowed to vote every Replican out of office. # purpleforparents # RemberInNovember https://twitter.com/treyterry/status/991993736589590528 …";;;# # #;"993135670280404992";https://twitter.com/OLibertyMatters/status/993135670280404992
OLibertyMatters;2018-05-06 07:22;2;4;"Remember when they told us that teachers & # redforedaz # redfored weren't political? They were lying! # RedForEdExposed # PurpleForParents # Red4Ed is all about using kids for political and financial gain. What's scary is their beliefs & the unsupervised access they have to our kidshttps://twitter.com/Teachnology/status/993011644618829824 …";;;# # # # #;"993133969267875842";https://twitter.com/OLibertyMatters/status/993133969267875842
IYSSE_US;2018-05-06 06:30;3;2;"Since the global capitalist crisis erupted in 2008, the CCOO and UGT have lost around 600,000 members. # RedForEdAz # edcolohttps://twitter.com/KarlMarx200yrs/status/992779144315527175 …";;;# #;"993120789657473026";https://twitter.com/IYSSE_US/status/993120789657473026
realzohannah;2018-05-05 23:11;4;5;"Not one single Republican member of the Arizona state house voted to reduce class size, fund schools or raise pay for Special Ed teachers and reading specialists. They’re all up for re-election this year. VOTE THEM OUT!!!! # Red4Ed # redforedaz # VoteThemOut2018https://twitter.com/phillipjpeterse/status/992057590908502016 …";;;# # #;"993010335303942144";https://twitter.com/realzohannah/status/993010335303942144
realzohannah;2018-05-05 23:07;3;9;"Can you imagine if every teacher who was angry at their pay, their treatment and their school's funding just quit? That's literally why we walked out. How well did your schools run without us? # RedforEd # RedforEdAZ https://twitter.com/OLibertyMatters/status/991718678633762816 …";;;# #;"993009391786835968";https://twitter.com/realzohannah/status/993009391786835968
realzohannah;2018-05-05 23:04;0;1;"# redfored # redforedaz https://twitter.com/Kate_Selby/status/991054461106765824 …";;;# #;"993008599935827970";https://twitter.com/realzohannah/status/993008599935827970
johnlewismealer;2018-05-05 22:45;1;1;"Governor, my CV economic plan from my 2014 AzGov race proved 3x # redforedaz raise plus 3x Avg Az Citizen way of living. Oops ? https://twitter.com/dougducey/status/992028377660866562 …";;;#;"993003857704701952";https://twitter.com/johnlewismealer/status/993003857704701952
WSWSMedia;2018-05-05 20:10;2;1;"Schools reopened across Arizona on Friday, as teachers returned to work following the betrayal of their courageous week-long strike by the unions # RedForEdAZ # RedForEdhttps://twitter.com/KarlMarx200yrs/status/992749469367259136 …";;;# #;"992964681634598914";https://twitter.com/WSWSMedia/status/992964681634598914
KwiettStorm;2018-05-05 16:12;6;10;"@ Jennifer_Pawlik @ SteveWeichert are my picks in November. They will represent AZ well! # RedForEdAZ # RememberInNovember # BlueWave2018https://twitter.com/RebeccaforAZ/status/992616892895395841 …";;@ @;# # #;"992904983400988673";https://twitter.com/KwiettStorm/status/992904983400988673
OLibertyMatters;2018-05-05 15:46;0;3;"In the end the teacher strike in AZ accomplished absolutely nothing but destroying the reputations of teachers and causing pain to children and families. The teachers got nothing,in the end,that the governor hadn't already promised before the strike. # RedforEdAZ # PurpleforParents";;;# #;"992898350142832640";https://twitter.com/OLibertyMatters/status/992898350142832640
